t	Imed
0	9439.32178
15.001	9426.625489
30	9385.391823
45	9395.292193
60.001	9360.252527
75	9350.265058
90	9336.98863
105	9321.94049
120.001	9291.600493
135.001	9273.292985
150	9248.222999
165	9230.720489
180.001	9202.345432
195	9177.695347
210.001	9158.535495
225.001	9137.500488
240	9108.995485
255.001	9070.082993
270.001	9054.680495
285	9042.322472
300	9007.000492
315	8985.990499
330.001	8970.240496
345	8943.255499
360	8917.610499
375.001	8900.342993
390	8883.690485
405	8863.271041
420.001	8825.717525
435	8807.637991
450.001	8792.405279
465	8772.217995
480.001	8733.225384
495	8723.689756
510.001	8710.922996
525	8689.905944
540.001	8659.082164
555.001	8638.183447
570	8622.753742
585	8613.111965
600.001	8574.135521
615.001	8552.472771
630.001	8545.123918
645	8533.574046
660	8500.386543
675	8481.314251
690.001	8462.14792
705.001	8458.952341
720	8433.230134
735.001	8423.037484
750.001	8398.596906
765.001	8384.954897
780	8358.870287
795.001	8348.831428
810	8330.586365
825.001	8315.008832
840	8295.570361
855.001	8281.655591
870	8270.598484
885.001	8256.442242
900	8226.132816
915.001	8214.85399
930	8207.159083
945.001	8192.629752
960	8173.157995
975.001	8156.127994
990	8140.047914
1005	8121.512423
1020.001	8100.067565
1035	8096.285621
1050.001	8080.262632
1065	8076.280497
1080	8053.565494
1095.001	8022.363204
1110.001	8015.060379
1125	8006.477793
1140	7989.419925
1155	7972.092886
1170.001	7960.12303
1185	7949.993693
1200.001	7918.612108
1215	7911.570499
1230.001	7898.855025
1245	7893.263327
1260.001	7870.890467
1275	7850.673443
1290.001	7843.319833
1305	7843.019488
1320.001	7818.347986
1335	7807.732996
1350.001	7790.118164
1365	7778.662985
1380.001	7752.542623
1395.001	7744.773991
1410	7735.116891
1425.001	7728.659866
1440	7702.605777
1455.001	7695.838421
1470	7684.869816
1485.001	7669.558721
1500	7650.201719
1515.001	7632.576738
1530	7635.672121
1545	7618.931167
1560	7603.838874
1575.001	7596.497999
1590	7571.870557
1605.001	7571.465497
1620.001	7547.500498
1635	7538.037934
1650.001	7537.405493
1665	7524.400699
1680.001	7502.385898
1695	7492.500492
1710	7477.818057
1725.001	7475.872748
1740	7452.668001
1755	7442.970493
1770	7435.484446
1785.001	7427.535496
1800.001	7410.390383
1815	7396.409496
1830	7384.007998
1845.001	7381.976764
1860	7364.78007
1875	7346.455055
1890	7344.419682
1905.001	7337.229072
1920	7315.450252
1935.001	7310.473272
1950	7303.180281
1965.001	7291.505973
1980	7278.28897
1995.001	7268.351659
2010	7262.08297
2025.001	7257.408196
2040.001	7235.518444
2055	7224.711819
2070	7222.738804
2085	7212.518623
2100.001	7194.639968
2115.001	7189.797387
2130	7175.868114
2145.001	7173.926525
2160	7152.832832
2175	7148.031576
2190	7133.475152
2205.001	7135.467997
2220	7116.386247
2235	7103.931766
2250.001	7100.876763
