date	T	rpm	V	A	I0	If
02-set	24	30	0.0001	1.637976e-3	9422.651	5096.445
03-set	25	30	0.000105	1.647072e-3	8957.723	4706.9
07-set	23.8	40	0.0001	1.637976e-3	9044.01	4739.62
08-set	23.7	20	0.0001	1.637976e-3	8909.103	4773.517
09-set	24.9	40	0.000105	1.647072e-3	8589.069	4508.625
27-set	24.2	60	0.000105	1.647072e-3	6515.02	3435.148
29-set	24.5	80	0.000105	1.647072e-3	6899.115	3556.964
30-set	24.4	100	0.000105	1.647072e-3	6771.442	3566.653
13-set	24.6	30	0.00006	1.56514e-3	9350.311	5050.311
13-set	25.1	20	0.00006	1.56514e-3	8438.045	4375.9
14-set	24	30	0.00006	1.56514e-3	11807.90564	5687.557
14-set	24	40	0.00006	1.56514e-3	11579.92627	5819.063
15-set	24.6	20	0.00006	1.56514e-3	11923.749	5772.723
16-set	24.1	40	0.00006	1.56514e-3	11971.13691	5860.851878
16-set	24.1	20	0.00006	1.56514e-3	12008.9	6019.753023
20-set	24.8	20	0.00006	1.56514e-3	12521.45409	6200
21-set	24.4	30	0.000085	1.610688e-3	8115.322	4394.314
22-set	24.4	20	0.000085	1.610688e-3	8479.362611	4397.913
23-set	24.8	40	0.000085	1.610688e-3	8070.042	4237.976
01-out	24.6	60	0.000085	1.610688e-3	7615.87	3858.521
