t	Imed
0	8112.279307
13.203	8126.233712
26.407	8128.744574
39.61	8119.122231
52.812	8090.402041
66.015	8081.678619
79.218	8045.532771
92.421	8030.047935
105.624	8002.296929
118.827	7980.774996
132.031	7933.665717
145.233	7913.251872
158.437	7904.40522
171.639	7869.638697
184.843	7852.318329
198.046	7832.227743
211.249	7807.739942
224.452	7808.033995
237.654	7766.215216
250.858	7744.022631
264.061	7698.56939
277.263	7677.037232
290.467	7661.150057
303.669	7637.734731
316.873	7609.818299
330.076	7610.905092
343.278	7582.871734
356.482	7564.975849
369.685	7542.504466
382.887	7520.237597
396.09	7487.206433
409.294	7472.970426
422.497	7450.273428
435.7	7431.460681
448.902	7402.443455
462.105	7388.571656
475.309	7381.991474
488.511	7370.82015
501.714	7337.040571
514.918	7317.827251
528.121	7287.384799
541.324	7276.733951
554.526	7257.832334
567.729	7241.181242
580.932	7231.102515
594.136	7202.143904
607.338	7194.691344
620.541	7161.81541
633.745	7150.706576
646.947	7144.853145
660.15	7105.622785
673.354	7102.009676
686.556	7080.469208
699.759	7076.148479
712.962	7070.628882
726.165	7047.460299
739.369	7025.824566
752.572	7005.011636
765.774	6986.204593
778.978	6979.339822
792.18	6946.982199
805.384	6935.048347
818.587	6922.713508
831.79	6913.186282
844.992	6892.743837
858.196	6874.365795
871.4	6865.90944
884.602	6841.479935
897.804	6839.762114
911.007	6826.873179
924.211	6804.03894
937.413	6783.784292
950.617	6769.306176
963.82	6757.372321
977.023	6740.987633
990.226	6739.187556
1003.428	6722.440558
1016.631	6707.232472
1029.835	6692.323207
1043.037	6682.738667
1056.24	6652.407772
1069.444	6640.107094
1082.646	6625.114576
1095.85	6619.819702
1109.052	6609.063353
1122.256	6591.155375
1135.458	6585.13652
1148.661	6572.072819
1161.865	6556.306269
1175.068	6541.266406
1188.27	6531.874579
1201.474	6512.868786
1214.676	6492.137279
1227.879	6487.085629
1241.083	6482.483312
1254.285	6473.356291
1267.489	6463.239197
1280.691	6448.694573
1293.895	6434.159666
1307.098	6424.498861
1320.3	6397.629646
1333.504	6402.559804
1346.706	6387.539396
1359.91	6374.259323
1373.112	6353.111836
1386.316	6351.725968
1399.518	6348.015888
1412.722	6334.734006
1425.925	6319.176783
1439.127	6310.577727
1452.33	6292.543814
1465.534	6285.469214
1478.736	6274.291114
1491.94	6261.412719
1505.143	6258.497219
1518.345	6243.957241
1531.548	6235.645014
1544.752	6230.581673
1557.955	6218.95895
1571.158	6211.059755
1584.361	6180.949288
1597.564	6176.663645
1610.766	6172.12497
1623.969	6161.733567
1637.172	6151.956212
1650.376	6151.147938
1663.578	6135.196267
1676.782	6127.433944
1689.984	6119.243107
1703.188	6111.107014
1716.39	6087.778909
1729.593	6087.24579
1742.796	6074.592672
1756.001	6065.573046
1769.202	6061.254475
1782.405	6048.962977
1795.608	6049.441197
1808.812	6037.845424
1822.015	6022.927559
1835.217	6024.545006
1848.42	6006.098383
1861.624	5998.541752
1874.826	5987.710254
1888.03	5987.257148
1901.232	5975.061176
1914.436	5959.434034
1927.638	5960.061413
1940.841	5954.776745
1954.044	5946.21431
1967.248	5926.491491
1980.45	5918.813446
1993.654	5912.837499
2006.856	5903.751115
2020.06	5905.655094
2033.262	5884.772719
2046.466	5879.73872
2059.668	5877.11618
2072.872	5873.630118
2086.075	5859.836947
2099.278	5854.958068
2112.48	5832.661107
2125.683	5836.429409
2138.887	5827.375856
2152.09	5819.110039
2165.292	5819.528093
2178.496	5804.393304
2191.699	5803.583633
2204.902	5804.591817
2218.104	5786.200254
2231.308	5777.17736
2244.51	5774.801401
2257.714	5767.663293
2270.917	5757.99199
2284.119	5752.318081
2297.323	5744.686839
2310.525	5744.543597
2323.729	5743.053007
2336.931	5732.225339
2350.134	5726.125133
2363.338	5715.198645
2376.54	5699.252818
2389.743	5698.101582
2402.947	5692.891574
2416.149	5686.757612
2429.353	5680.084274
2442.555	5675.721438
2455.759	5667.84539
2468.962	5658.457785
2482.165	5649.815935
2495.367	5654.985526
2508.571	5643.532247
2521.773	5628.268235
2534.977	5633.829407
2548.179	5618.45936
2561.382	5615.672934
2574.586	5614.381409
2587.789	5617.68826
2600.991	5604.311702
2614.194	5595.24932
2627.398	5592.678605
2640.601	5584.391735
2653.803	5578.947604
2667.007	5580.524461
2680.209	5570.530823
2693.413	5565.044398
2706.616	5551.073505
2719.818	5552.308915
2733.021	5548.566351
2746.224	5540.267628
2759.428	5535.384499
2772.63	5518.642614
2785.834	5515.807478
2799.036	5515.805954
2812.24	5513.241638
2825.442	5508.561661
2838.645	5499.080426
2851.849	5491.453639
2865.052	5495.829186
2878.255	5484.673363
2891.457	5476.101044
2904.661	5470.59263
2917.863	5468.835849
2931.066	5466.929916
2944.27	5452.397639
2957.472	5455.252829
2970.676	5446.731139
2983.879	5443.170806
2997.082	5442.306681
3010.284	5439.642579
3023.488	5431.412479
3036.691	5419.083718
3049.893	5415.858594
3063.097	5404.401081
3076.299	5411.391947
3089.503	5399.618088
3102.705	5402.661308
3115.909	5393.039511
3129.111	5402.53601
3142.314	5382.65069
3155.517	5376.502194
3168.721	5379.989715
3181.924	5372.003753
3195.126	5368.114109
3208.329	5360.602374
3221.533	5362.223827
3234.735	5351.841192
3247.938	5348.24782
3261.141	5347.429356
3274.345	5340.256878
3287.547	5340.176894
3300.751	5332.057564
3313.953	5323.460478
3327.156	5318.770142
3340.36	5317.841967
3353.562	5319.149333
3366.766	5303.762384
3379.968	5305.762877
3393.171	5301.658934
3406.375	5297.371405
3419.577	5299.254606
3432.78	5283.123621
3445.984	5284.676009
3459.187	5275.976904
3472.389	5271.420408
3485.593	5273.175832
3498.796	5268.88757
3511.999	5262.282714
3525.202	5259.788791
3538.405	5253.277882
3551.607	5249.861664
3564.811	5243.623947
3578.014	5245.444064
3591.216	5239.713391
3604.419	5232.546794
3617.623	5238.362949
3630.826	5228.284733
3644.028	5226.334341
3657.232	5216.396133
3670.434	5219.78138
3683.638	5214.398415
3696.84	5204.558745
3710.044	5199.88913
3723.247	5203.712497
3736.45	5191.12479
3749.652	5190.095047
3762.856	5187.867934
3776.058	5179.959298
3789.262	5183.091117
3802.464	5177.220046
3815.668	5171.349927
3828.87	5168.849481
3842.074	5161.840002
3855.277	5153.895287
3868.479	5153.25032
3881.683	5145.111454
3894.886	5151.679552
3908.088	5147.783146
3921.291	5143.925992
3934.495	5145.22799
3947.698	5137.08065
3960.901	5132.60684
3974.104	5127.921283
3987.306	5125.724114
4000.51	5129.80028
4013.712	5119.49716
4026.916	5116.552604
4040.118	5113.684081
4053.321	5106.229648
4066.525	5109.923034
4079.727	5110.131382
4092.93	5104.872541
4106.134	5102.301439
4119.336	5090.638158
4132.54	5086.52751
4145.742	5080.633288
4158.946	5085.535393
4172.148	5080.550128
4185.352	5074.24765
4198.554	5071.381403
4211.758	5072.553108
4224.96	5067.85085
4238.164	5061.355835
4251.366	5062.744242
4264.569	5056.93728
4277.772	5054.139795
4290.976	5059.004326
4304.179	5052.990353
4317.381	5046.363096
4330.584	5048.038769
4343.788	5043.594052
4356.991	5028.887582
4370.193	5029.2999
4383.396	5034.809077
4396.6	5022.208908
4409.802	5026.972262
4423.006	5023.865319
4436.208	5027.123348
4449.412	5020.550823
4462.615	5009.748254
4475.817	5015.135366
4489.02	5012.91971
4502.224	5007.897981
4515.427	5008.150636
4528.629	4996.852509
4541.832	5003.288325
4555.036	4999.236196
4568.238	4998.650814
4581.441	5001.237307
4594.645	4986.908113
4607.847	4986.658175
4621.05	4986.75226
4634.254	4982.651813
4647.457	4981.964444
4660.659	4978.513529
4673.863	4969.715948
4687.066	4973.732959
4700.269	4974.396208
4713.471	4966.008024
4726.675	4967.303312
4739.878	4956.488093
4753.08	4960.245126
4766.284	4951.878054
4779.487	4954.143254
4792.689	4947.150588
4805.892	4950.582618
4819.096	4941.109178
4832.298	4939.18624
4845.502	4940.182965
4858.704	4929.922109
4871.908	4935.190231
4885.111	4932.190576
4898.314	4927.755834
4911.516	4922.459317
4924.719	4923.006021
4937.923	4918.160863
4951.126	4915.324378
4964.329	4912.498698
4977.531	4909.760994
4990.734	4915.27682
5003.939	4907.713064
5017.14	4903.262447
5030.343	4904.318679
5043.546	4900.747303
5056.75	4890.719033
5069.953	4893.214477
5083.155	4893.212504
5096.358	4895.786474
5109.562	4886.238295
5122.765	4892.879664
5135.967	4881.300144
5149.171	4874.600716
5162.374	4877.9757
5175.577	4877.161086
5188.78	4872.028183
5201.982	4872.889532
5215.186	4872.37802
5228.389	4871.32527
5241.591	4867.455449
5254.795	4865.744012
5267.997	4867.00216
5281.201	4862.903135
5294.403	4859.855537
5307.607	4859.136735
5320.809	4854.958619
5334.013	4854.643866
5347.215	4853.61546
5360.418	4851.632538
5373.622	4851.770679
5386.824	4846.654493
5400.028	4846.222846
5413.23	4838.307867
5426.434	4842.998946
5439.636	4833.128037
5452.84	4829.716505
5466.042	4835.872921
5479.245	4829.511621
5492.448	4830.054634
5505.652	4821.728701
5518.854	4826.108736
5532.057	4819.628839
5545.261	4815.829138
5558.464	4818.983654
5571.666	4808.655973
5584.869	4811.231407
5598.073	4806.24558
5611.275	4809.814772
5624.479	4803.142434
5637.681	4807.06085
5650.885	4795.276633
5664.088	4801.873572
5677.29	4792.50545
5690.493	4790.127039
5703.696	4801.112968
5716.9	4793.00417
5730.102	4792.957065
5743.306	4790.524915
5756.508	4790.600611
5769.711	4793.994847
